Black Body Radiation Experiment Wed, Mar 04, 2020 10:23 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.05155
0.00000	-0.04737
0.00000	-0.04946
0.00000	-0.05204
0.00000	-0.04882
0.00000	-0.04785
0.00000	-0.04495
0.00000	-0.04608
0.00000	-0.04946
0.00000	-0.05461
0.00000	-0.04850
0.01035	-0.04833
0.01035	-0.04833
0.01035	-0.04914
0.01035	-0.04705
0.01035	-0.04592
0.01035	-0.04447
0.01035	-0.04817
0.01035	-0.04946
0.01035	-0.04576
0.01035	-0.04673
0.01035	-0.04592
0.01035	-0.04689
0.01035	-0.04528
0.01035	-0.04479
0.01035	-0.04592
0.01035	-0.04673
0.01035	-0.04302
0.01035	-0.05091
0.01035	-0.04608
0.01035	-0.04640
0.01035	-0.04447
0.01035	-0.04383
0.01035	-0.04544
0.01035	-0.04785
0.01035	-0.04721
0.01035	-0.04254
0.01035	-0.04447
0.01035	-0.04962
0.01035	-0.04608
0.01035	-0.04769
0.01035	-0.04077
0.01035	-0.04302
0.01035	-0.04689
0.01035	-0.04335
0.01035	-0.04222
0.01035	-0.04560
0.01035	-0.04431
0.01035	-0.04447
0.01035	-0.04512
0.01035	-0.04495
0.01035	-0.04415
0.01035	-0.04174
0.01035	-0.04640
0.01035	-0.04544
0.01035	-0.04544
0.01035	-0.03771
0.01035	-0.04415
0.01035	-0.04238
0.01035	-0.04302
0.01035	-0.04415
0.01035	-0.04351
0.01035	-0.04061
0.01035	-0.03980
0.01035	-0.04640
0.01035	-0.04785
0.01035	-0.04029
0.01035	-0.04141
0.01035	-0.04286
0.01035	-0.04415
0.01035	-0.03996
0.01035	-0.03996
0.01035	-0.04093
0.01035	-0.04061
0.01035	-0.04206
0.01035	-0.04479
0.01035	-0.03787
0.01035	-0.04238
0.01035	-0.04318
0.01035	-0.04109
0.01035	-0.04190
0.01035	-0.04383
0.01035	-0.04141
0.01035	-0.04093
0.00000	-0.03900
0.00000	-0.04109
0.00000	-0.04383
0.00000	-0.04495
0.00000	-0.04013
0.00000	-0.04125
0.00000	-0.03932
0.00000	-0.04335
0.00000	-0.04206
0.00000	-0.04093
0.01035	-0.04753
0.01035	-0.04222
0.01035	-0.04383
0.01035	-0.04399
0.01035	-0.04238
0.01035	-0.04415
0.01035	-0.03964
0.01035	-0.04206
0.01035	-0.04174
0.02070	-0.03948
0.02070	-0.04029
0.03104	-0.04061
0.03104	-0.03852
0.04139	-0.03787
0.05174	-0.04528
0.06209	-0.04045
0.09313	-0.03884
0.33114	-0.04109
1.02447	-0.03836
1.77989	-0.04576
2.64914	-0.04431
3.40456	-0.04013
4.01510	-0.04415
4.43938	-0.03771
4.81191	-0.04013
5.10166	-0.04093
5.40176	-0.04206
5.65012	-0.03755
5.88812	-0.04013
6.14683	-0.04077
6.38484	-0.03787
6.65389	-0.03803
6.91259	-0.03932
7.21269	-0.04141
7.49209	-0.03787
7.71975	-0.04077
7.98881	-0.03755
8.26821	-0.03900
8.56831	-0.03836
8.92015	-0.03803
9.29268	-0.03626
9.65487	-0.03417
10.24471	-0.03916
10.88630	-0.03948
11.38302	-0.04093
11.89008	-0.04431
12.33505	-0.03916
12.85246	-0.04125
13.31813	-0.04077
13.82519	-0.04174
14.35295	-0.03819
14.82897	-0.04157
15.28429	-0.04061
15.70856	-0.03884
16.27771	-0.03948
16.78477	-0.03610
17.37462	-0.03031
17.98516	-0.02049
18.80267	0.01025
19.59948	0.04808
20.45838	0.06868
21.18276	0.06820
22.06235	0.05741
22.73499	0.04228
23.36623	0.03118
23.90433	0.02104
24.44244	0.00864
25.01159	0.00108
25.58074	-0.00278
26.26372	-0.01373
26.87427	-0.01437
27.61934	-0.01807
28.22988	-0.02564
28.91286	-0.02242
29.56480	-0.02950
30.33056	-0.03063
