Black Body Radiation Experiment Wed, Mar 04, 2020 10:26 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.40180
0.00000	-0.36043
0.00000	-0.38699
0.00000	-0.37991
0.00000	-0.40132
0.00000	-0.37428
0.00000	-0.34643
0.00000	-0.38313
0.00000	-0.35609
0.00000	-0.38973
0.00000	-0.38748
0.00000	-0.36816
0.00000	-0.35255
0.00000	-0.37412
0.00000	-0.38748
0.00000	-0.37766
0.00000	-0.35335
0.00000	-0.36993
0.00000	-0.38474
0.00000	-0.37637
0.00000	-0.34321
0.00000	-0.35802
0.00000	-0.35979
0.00000	-0.38731
0.00000	-0.37041
0.00000	-0.34160
0.00000	-0.34756
0.00000	-0.35802
0.00000	-0.37476
0.00000	-0.36623
0.00000	-0.34321
0.00000	-0.35705
0.00000	-0.36703
0.00000	-0.35432
0.00000	-0.34643
0.00000	-0.35995
0.00000	-0.38088
0.00000	-0.39021
0.00000	-0.38023
0.00000	-0.36864
0.00000	-0.34901
0.00000	-0.35464
0.01035	-0.36285
0.01035	-0.37894
0.01035	-0.38587
0.01035	-0.35271
0.02070	-0.34627
0.03104	-0.36752
0.05174	-0.37814
0.13453	-0.37556
0.43462	-0.37444
0.78646	-0.38426
1.22109	-0.37508
1.62467	-0.37766
2.06964	-0.38426
2.74227	-0.37138
3.27003	-0.36301
3.67361	-0.36011
3.93231	-0.36768
4.04614	-0.36478
4.09789	-0.34756
4.09789	-0.34579
4.09789	-0.36768
4.09789	-0.36430
4.09789	-0.33838
4.09789	-0.32599
4.09789	-0.34369
4.09789	-0.34015
4.09789	-0.33693
4.09789	-0.36510
4.09789	-0.35593
4.09789	-0.33774
4.09789	-0.35271
4.09789	-0.37894
4.09789	-0.37218
4.09789	-0.34530
4.09789	-0.33339
4.10823	-0.35770
4.10823	-0.38538
4.10823	-0.35367
4.10823	-0.34579
4.10823	-0.35528
4.11858	-0.36623
4.11858	-0.36558
4.11858	-0.35367
4.11858	-0.33999
4.11858	-0.36156
4.11858	-0.36880
4.11858	-0.35239
4.12893	-0.32615
4.12893	-0.35850
4.12893	-0.36800
4.13928	-0.37154
4.13928	-0.34788
4.13928	-0.35593
4.14963	-0.32599
4.15997	-0.36961
4.20137	-0.35641
4.30485	-0.36269
4.46007	-0.36269
4.65669	-0.33742
4.84296	-0.36800
5.11201	-0.36671
5.37071	-0.35786
5.63977	-0.36059
5.89847	-0.36591
6.14683	-0.35045
6.36414	-0.35899
6.56076	-0.35078
6.71598	-0.35223
6.82981	-0.33211
6.93329	-0.32937
7.02643	-0.31891
7.10921	-0.30474
7.26443	-0.33355
7.45070	-0.34546
7.62662	-0.35448
7.82324	-0.35255
8.01985	-0.34321
8.21647	-0.31086
8.44413	-0.31311
8.66144	-0.30909
8.87875	-0.31746
9.07537	-0.30909
9.24094	-0.29798
9.41686	-0.30523
9.61347	-0.32116
9.72730	-0.32454
9.83079	-0.31907
9.94462	-0.30796
10.06879	-0.29959
10.20332	-0.29718
10.33785	-0.29734
10.51377	-0.29669
10.70003	-0.29428
10.90700	-0.31005
11.24849	-0.31617
11.48650	-0.28993
11.74520	-0.29170
12.08669	-0.31746
12.33505	-0.29605
12.61445	-0.29959
12.86281	-0.29718
13.11116	-0.29267
13.35952	-0.28317
13.56649	-0.30168
13.84589	-0.29090
14.03215	-0.29702
14.22877	-0.28720
14.41504	-0.30201
14.61165	-0.30861
14.79792	-0.29814
14.98419	-0.31746
15.16011	-0.31215
15.37742	-0.32180
15.58438	-0.31215
15.83274	-0.31923
16.10179	-0.31279
16.39154	-0.30780
16.68129	-0.30426
17.01243	-0.28688
17.34358	-0.26321
17.62298	-0.24921
18.05760	-0.19223
18.48188	-0.09984
18.88546	-0.02226
19.30973	0.06691
19.81680	0.12566
20.37560	0.11246
20.99649	0.09556
21.45181	0.08252
21.87609	0.02233
22.30036	-0.00697
22.64185	-0.06250
22.97300	-0.10451
23.26274	-0.12350
23.63528	-0.14314
23.89398	-0.13590
24.18373	-0.15586
24.47348	-0.17195
24.72184	-0.20173
24.93915	-0.22491
25.16681	-0.22700
25.34273	-0.24551
25.52900	-0.26482
25.74631	-0.27641
25.99467	-0.27931
26.27407	-0.29686
26.58452	-0.30217
26.90531	-0.27529
27.22610	-0.26418
27.62968	-0.27223
28.05396	-0.26949
28.47824	-0.26531
28.96460	-0.27577
29.45097	-0.28607
29.95803	-0.28317
30.48579	-0.28446
