Black Body Radiation Experiment Wed, Mar 04, 2020 9:59 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.08053
0.00000	-0.07682
0.00000	-0.07361
0.00000	-0.08262
0.00000	-0.08278
0.00000	-0.07715
0.00000	-0.07795
0.00000	-0.07763
0.00000	-0.07650
0.00000	-0.07538
0.00000	-0.07650
0.00000	-0.07457
0.00000	-0.07860
0.00000	-0.07634
0.00000	-0.07602
0.00000	-0.07892
0.00000	-0.07666
0.00000	-0.07554
0.00000	-0.07489
0.00000	-0.07634
0.00000	-0.08053
0.00000	-0.07312
0.00000	-0.07425
0.00000	-0.07618
0.00000	-0.07827
0.00000	-0.07505
0.00000	-0.07505
0.00000	-0.07538
0.00000	-0.07538
0.00000	-0.07860
0.00000	-0.07827
0.00000	-0.07505
0.00000	-0.07457
0.00000	-0.07811
0.00000	-0.07570
0.00000	-0.07538
0.00000	-0.07650
0.00000	-0.07731
0.00000	-0.07489
0.00000	-0.07892
0.00000	-0.07860
0.00000	-0.07602
0.00000	-0.07200
0.00000	-0.07602
0.00000	-0.07715
-0.01035	-0.08037
-0.01035	-0.07634
-0.01035	-0.07505
-0.01035	-0.07682
-0.02070	-0.07940
-0.02070	-0.07763
-0.02070	-0.07924
-0.02070	-0.07811
-0.02070	-0.07312
-0.02070	-0.07731
-0.02070	-0.07747
-0.02070	-0.07521
-0.02070	-0.07393
-0.02070	-0.07489
-0.02070	-0.07699
-0.02070	-0.07811
-0.02070	-0.07361
-0.01035	-0.07795
-0.02070	-0.07827
-0.02070	-0.07827
-0.02070	-0.07554
-0.02070	-0.07505
-0.02070	-0.07602
-0.02070	-0.07843
-0.02070	-0.07699
-0.02070	-0.07779
-0.02070	-0.07570
-0.02070	-0.07763
-0.02070	-0.07473
-0.02070	-0.07473
-0.02070	-0.06990
-0.02070	-0.07715
-0.02070	-0.08053
-0.02070	-0.07055
-0.02070	-0.07457
-0.02070	-0.07715
-0.02070	-0.07473
-0.02070	-0.07409
-0.02070	-0.07586
-0.02070	-0.07602
-0.02070	-0.07843
-0.02070	-0.07361
-0.02070	-0.07167
-0.02070	-0.07811
-0.02070	-0.07827
-0.02070	-0.07521
-0.02070	-0.07119
-0.02070	-0.07699
-0.02070	-0.07876
-0.02070	-0.07699
-0.02070	-0.07473
-0.02070	-0.07956
-0.02070	-0.07892
-0.02070	-0.07183
-0.02070	-0.07489
-0.02070	-0.07988
-0.02070	-0.07377
-0.02070	-0.07344
-0.02070	-0.07055
-0.02070	-0.07538
-0.02070	-0.07811
-0.02070	-0.07441
-0.02070	-0.07248
-0.02070	-0.07006
-0.02070	-0.07924
-0.02070	-0.07682
-0.02070	-0.07200
-0.02070	-0.07248
-0.02070	-0.07489
-0.02070	-0.07425
-0.02070	-0.07377
-0.02070	-0.07312
-0.02070	-0.07473
-0.02070	-0.07940
-0.02070	-0.07763
-0.02070	-0.07103
-0.02070	-0.07666
-0.02070	-0.07682
-0.02070	-0.07731
-0.02070	-0.07538
-0.02070	-0.07328
-0.02070	-0.07538
-0.02070	-0.07505
-0.02070	-0.07843
-0.02070	-0.07216
-0.02070	-0.07634
-0.02070	-0.07956
-0.02070	-0.07521
-0.02070	-0.07538
-0.02070	-0.07570
-0.02070	-0.07827
-0.02070	-0.07361
-0.02070	-0.07183
-0.02070	-0.07876
-0.02070	-0.07747
-0.02070	-0.07570
-0.02070	-0.07441
-0.02070	-0.07312
-0.02070	-0.07811
-0.02070	-0.07843
-0.02070	-0.07554
-0.02070	-0.07183
-0.02070	-0.07618
-0.02070	-0.07699
-0.02070	-0.07232
-0.02070	-0.07425
-0.02070	-0.08149
-0.01035	-0.07666
-0.01035	-0.07071
-0.01035	-0.07103
-0.01035	-0.07876
-0.01035	-0.07280
-0.01035	-0.07200
-0.01035	-0.07312
-0.02070	-0.07876
-0.02070	-0.07554
-0.02070	-0.07296
-0.02070	-0.07521
-0.02070	-0.07666
-0.02070	-0.07634
-0.02070	-0.07328
-0.02070	-0.07344
-0.02070	-0.07650
-0.02070	-0.07328
-0.02070	-0.07264
-0.02070	-0.07457
-0.02070	-0.07586
-0.02070	-0.07795
-0.02070	-0.07489
-0.02070	-0.07087
-0.02070	-0.07827
-0.02070	-0.07940
-0.02070	-0.07473
-0.02070	-0.07618
-0.02070	-0.07634
-0.02070	-0.07892
-0.02070	-0.07200
-0.02070	-0.07216
-0.02070	-0.07457
-0.02070	-0.07473
-0.01035	-0.07521
-0.01035	-0.07473
-0.01035	-0.07393
-0.01035	-0.07682
-0.01035	-0.07505
-0.01035	-0.07409
-0.01035	-0.07232
-0.01035	-0.07827
-0.01035	-0.07827
-0.01035	-0.07361
-0.01035	-0.07602
-0.01035	-0.06958
-0.01035	-0.07216
-0.01035	-0.07618
-0.01035	-0.07425
-0.01035	-0.07103
-0.01035	-0.07521
-0.01035	-0.07586
-0.01035	-0.07715
-0.01035	-0.07232
0.00000	-0.07248
0.00000	-0.07554
0.00000	-0.07183
0.00000	-0.07361
0.00000	-0.07296
0.00000	-0.07908
0.00000	-0.07699
0.00000	-0.07521
0.00000	-0.07489
0.00000	-0.07425
0.00000	-0.07956
0.00000	-0.07843
0.00000	-0.07747
0.01035	-0.07634
0.01035	-0.07876
0.01035	-0.07602
0.01035	-0.07393
0.01035	-0.07538
0.01035	-0.07811
0.01035	-0.07682
0.01035	-0.07538
0.01035	-0.07425
0.02070	-0.07827
0.02070	-0.08181
0.02070	-0.07763
0.02070	-0.07312
0.02070	-0.07280
0.03104	-0.08004
0.03104	-0.07795
0.04139	-0.07731
0.04139	-0.07473
0.04139	-0.07023
0.05174	-0.07618
0.05174	-0.07892
0.06209	-0.08101
0.07244	-0.07328
0.08279	-0.07570
0.09313	-0.07473
0.10348	-0.07747
0.11383	-0.07393
0.13453	-0.07264
0.19662	-0.07457
0.64159	-0.07554
1.11761	-0.07924
1.69710	-0.07860
2.20417	-0.07650
2.77332	-0.07988
3.20794	-0.07843
3.58048	-0.07457
3.91162	-0.07328
4.20137	-0.08053
4.47042	-0.07731
4.66704	-0.07666
4.78087	-0.07827
4.87400	-0.07699
4.95679	-0.07860
5.01888	-0.07586
5.08096	-0.07570
5.15340	-0.07634
5.21549	-0.07634
5.31897	-0.07956
5.44315	-0.07892
5.60872	-0.07682
5.80534	-0.07554
6.00195	-0.07457
6.20892	-0.07763
6.43658	-0.07312
6.69528	-0.07570
6.95399	-0.07441
7.22304	-0.07328
7.49209	-0.07779
7.79219	-0.08101
8.09229	-0.07489
8.41308	-0.07811
8.71318	-0.07666
9.04432	-0.07908
9.36512	-0.07538
9.66522	-0.07344
9.93427	-0.07441
10.22402	-0.07650
10.50342	-0.07634
10.78282	-0.07972
11.05187	-0.07344
11.31058	-0.07473
11.57963	-0.07232
11.78660	-0.07489
12.06600	-0.07393
12.35575	-0.07441
12.60410	-0.07344
12.86281	-0.07167
13.10082	-0.07393
13.35952	-0.07200
13.63892	-0.07023
13.92867	-0.07232
14.23912	-0.06588
14.53922	-0.06862
14.89105	-0.07151
15.13941	-0.06845
15.39812	-0.06910
15.63612	-0.06636
15.90518	-0.07071
16.13284	-0.07087
16.39154	-0.07344
16.67094	-0.06717
16.91930	-0.06491
17.18835	-0.05880
17.54019	-0.05510
17.99551	-0.03610
18.50257	-0.02242
18.97859	0.00011
19.56844	0.02989
20.10655	0.04309
20.59291	0.05210
21.17241	0.05420
21.70017	0.04196
22.13479	0.02941
22.52802	0.01878
22.96265	0.00736
23.37657	-0.00810
23.79050	-0.01437
24.23548	-0.02017
24.61836	-0.02999
25.02194	-0.03514
25.38413	-0.04190
25.81875	-0.04335
26.19128	-0.04576
26.64660	-0.05590
27.09158	-0.05155
27.51585	-0.05590
27.96083	-0.05606
28.42649	-0.06282
28.90251	-0.06153
29.28539	-0.06894
29.68897	-0.06701
30.11325	-0.06330
