Black Body Radiation Experiment Wed, Mar 04, 2020 9:32 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.58761
0.00000	0.59260
0.00000	0.58890
0.00000	0.59405
0.00000	0.58987
0.00000	0.58874
0.00000	0.59260
0.00000	0.58826
0.00000	0.59373
0.00000	0.59067
0.00000	0.59115
0.00000	0.59083
0.00000	0.59003
0.00000	0.59373
0.00000	0.59067
0.00000	0.59051
0.00000	0.58745
0.00000	0.59260
0.00000	0.59051
0.00000	0.59067
0.00000	0.59164
0.00000	0.58632
0.00000	0.58954
0.00000	0.58568
0.00000	0.58745
0.00000	0.59003
0.00000	0.59003
0.00000	0.58842
0.00000	0.59180
0.00000	0.59035
0.00000	0.59131
0.00000	0.59035
0.00000	0.59003
0.00000	0.58970
0.00000	0.59405
0.00000	0.59244
0.00000	0.59115
0.00000	0.59244
0.00000	0.59550
0.00000	0.59148
0.00000	0.59051
0.00000	0.58858
0.00000	0.59212
0.00000	0.59405
0.00000	0.59550
0.00000	0.58842
0.00000	0.59067
0.00000	0.59566
0.00000	0.59437
0.00000	0.59469
0.00000	0.59067
0.00000	0.59115
0.00000	0.58681
0.00000	0.59260
0.00000	0.59115
0.00000	0.59260
0.00000	0.59131
0.00000	0.59373
0.00000	0.59308
0.00000	0.58970
0.00000	0.59469
0.00000	0.59196
0.00000	0.59486
0.00000	0.59341
0.00000	0.59115
0.00000	0.59711
0.00000	0.58793
0.00000	0.59421
0.00000	0.59550
0.00000	0.60065
0.00000	0.59099
0.00000	0.59035
0.00000	0.58970
0.00000	0.59598
0.00000	0.59421
0.00000	0.59614
0.00000	0.59308
0.00000	0.58987
0.00000	0.59598
0.00000	0.59518
0.00000	0.59405
0.00000	0.59019
0.00000	0.59405
0.00000	0.59840
0.00000	0.59341
0.00000	0.59292
0.00000	0.58938
0.00000	0.59405
0.00000	0.59598
0.00000	0.59180
0.00000	0.59196
0.00000	0.59341
0.00000	0.59244
0.00000	0.59759
0.00000	0.59131
0.00000	0.59196
0.00000	0.59405
0.00000	0.59421
0.00000	0.59019
0.00000	0.59131
0.00000	0.59228
0.00000	0.59791
0.00000	0.59453
0.00000	0.59051
0.00000	0.58713
0.00000	0.59389
0.00000	0.59148
0.00000	0.59115
0.00000	0.59003
0.00000	0.59131
0.00000	0.59180
0.00000	0.59131
0.00000	0.59276
0.00000	0.59389
0.00000	0.59115
0.00000	0.59405
0.00000	0.59566
0.00000	0.58987
0.00000	0.59244
0.00000	0.59341
0.00000	0.59469
0.00000	0.59421
0.00000	0.58890
0.00000	0.59115
0.00000	0.59099
0.00000	0.59341
0.00000	0.59421
0.00000	0.59308
0.00000	0.59308
0.00000	0.59759
0.00000	0.58987
0.00000	0.59035
0.00000	0.59212
0.00000	0.59180
0.00000	0.59421
0.00000	0.59727
0.00000	0.59228
0.00000	0.58922
0.00000	0.59051
0.00000	0.59067
0.00000	0.59936
0.00000	0.59502
0.00000	0.59067
0.00000	0.58842
0.00000	0.59035
0.00000	0.59148
0.00000	0.58890
0.00000	0.59292
0.00000	0.59518
0.00000	0.59518
0.00000	0.59518
0.00000	0.59341
0.00000	0.59131
0.00000	0.59260
0.00000	0.59212
0.00000	0.59325
0.00000	0.59373
0.00000	0.58987
0.00000	0.59067
0.00000	0.59099
0.00000	0.59292
0.00000	0.59180
0.00000	0.58809
