Black Body Radiation Experiment Wed, Mar 04, 2020 9:30 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.53128
0.00000	0.53337
0.00000	0.53063
0.00000	0.53273
0.01035	0.53015
0.01035	0.52886
0.02070	0.53578
0.02070	0.53546
0.02070	0.53128
0.02070	0.53224
0.02070	0.53482
0.02070	0.53240
0.02070	0.52999
0.02070	0.53160
0.02070	0.53546
0.02070	0.52886
0.02070	0.53353
0.02070	0.53112
0.02070	0.53047
0.02070	0.53015
0.02070	0.53192
0.02070	0.52886
0.02070	0.53047
0.02070	0.53224
0.02070	0.53112
0.02070	0.53192
0.02070	0.53546
0.02070	0.53417
0.02070	0.53047
0.02070	0.52999
0.03104	0.52564
0.04139	0.53208
0.07244	0.52999
0.12418	0.52854
0.12418	0.53031
0.09313	0.52854
0.07244	0.52951
0.07244	0.53031
0.07244	0.52677
0.07244	0.53095
0.07244	0.52999
0.07244	0.52677
0.07244	0.52918
0.07244	0.53321
0.07244	0.53128
0.07244	0.53095
0.07244	0.53401
0.07244	0.53160
0.07244	0.52677
0.07244	0.53675
0.07244	0.53498
0.07244	0.53208
0.07244	0.52436
0.07244	0.53417
0.07244	0.53047
0.07244	0.53433
0.07244	0.53321
0.07244	0.52419
0.07244	0.53047
0.07244	0.53337
0.07244	0.53208
0.07244	0.52741
0.07244	0.53337
0.07244	0.53031
0.07244	0.52967
0.07244	0.52596
0.07244	0.52967
0.07244	0.53128
0.07244	0.52902
0.07244	0.52999
0.07244	0.53176
0.07244	0.52886
0.07244	0.52548
0.07244	0.52645
0.07244	0.53160
0.07244	0.52902
0.07244	0.52774
0.07244	0.53498
0.08279	0.53176
0.08279	0.52741
0.08279	0.52613
0.08279	0.53337
0.08279	0.53224
0.08279	0.52886
0.08279	0.53031
0.08279	0.52838
0.08279	0.53063
0.08279	0.52596
0.08279	0.52870
0.08279	0.52854
0.08279	0.53160
0.08279	0.52806
0.08279	0.52613
0.08279	0.52967
0.08279	0.52854
0.08279	0.52725
0.08279	0.52999
0.08279	0.53112
0.08279	0.52806
0.08279	0.52484
0.07244	0.53176
0.07244	0.52822
0.07244	0.52838
0.07244	0.52661
0.07244	0.53095
0.07244	0.52613
0.07244	0.52242
0.07244	0.52902
0.07244	0.53015
0.07244	0.53176
0.07244	0.52725
0.07244	0.52951
0.07244	0.53450
0.07244	0.52870
0.07244	0.52886
0.07244	0.53079
0.07244	0.53546
0.07244	0.52886
0.07244	0.53160
0.07244	0.53353
0.07244	0.53160
0.07244	0.52757
0.07244	0.53015
0.07244	0.53208
0.07244	0.52838
0.07244	0.52693
0.07244	0.53273
0.07244	0.53401
0.07244	0.53256
0.07244	0.52935
0.07244	0.52757
0.07244	0.53128
0.07244	0.53128
0.07244	0.53498
0.07244	0.53015
0.07244	0.53417
0.07244	0.53208
0.07244	0.52870
0.07244	0.53128
0.07244	0.53804
0.07244	0.53256
0.07244	0.53192
0.07244	0.52677
0.07244	0.53208
0.07244	0.53450
0.07244	0.52886
0.07244	0.53063
0.07244	0.53385
0.07244	0.53401
0.07244	0.52741
0.07244	0.53289
0.07244	0.53546
0.07244	0.53256
0.07244	0.52693
0.07244	0.53208
0.07244	0.52918
0.07244	0.53224
0.07244	0.53273
0.07244	0.53079
0.07244	0.53095
0.07244	0.52886
0.07244	0.53031
0.07244	0.53063
0.07244	0.53273
0.07244	0.52580
0.07244	0.53079
0.07244	0.53015
0.07244	0.53514
0.07244	0.52935
0.07244	0.52999
0.07244	0.53337
0.07244	0.53514
0.07244	0.52902
0.07244	0.53015
